/Document/FICdtTrf/CdtTrfTxInf/Dbtr/FinInstnId/PstlAdr/CtrySubDvsn, Debtor/Address/City Sub Division
/Document/FICdtTrf/CdtTrfTxInf/Dbtr/FinInstnId/PstlAdr/Ctry, Debtor/Address/Country
/Document/FICdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN, Debtor/Account/IBAN
/Document/FICdtTrf/CdtTrfTxInf/DbtrAcct/Id/Othr/Id, Debtor/Account/Id
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/BICFI, Creditor Agent/BIC
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/Nm, Creditor Agent/Name
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/TwnNm, Creditor Agent/Address/City
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/Dept, Creditor Agent/Address/Department
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/StrtNm, Creditor Agent/Address/Street Name
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/BldgNb, Creditor Agent/Address/Building Number
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/PstCd, Creditor Agent/Address/Province
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/CtrySubDvsn, Creditor Agent/Address/City Sub Division
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/Ctry, Creditor Agent/Address/Country
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id/IBAN, Creditor Agent/Account/IBAN
/Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id/Othr/Id, Creditor Agent/Account/Id
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/BICFI,Creditor/BIC
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/Nm,Creditor/Name
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/TwnNm,Creditor/Address/City
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/Dept,Creditor/Address/Department
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/StrtNm,Creditor/Address/Street Name
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/BldgNb,Creditor/Address/Building Number
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/PstCd,Creditor/Address/Province
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/CtrySubDvsn,Creditor/Address/City Sub Division
/Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/Ctry,Creditor/Address/Country
/Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/IBAN,Creditor/Account/IBAN
/Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/Othr/Id,Creditor/Account/Id
/Document/FICdtTrf/CdtTrfTxInf/RmtInf/Ustrd, Remittance Information
